City,State,Poverty Rate
Irving,Texas,13.5
El Paso,Texas,20
Henderson,Nevada,8.5
Boise,Idaho,13.5
Virginia Beach,Virginia,7.6
Detroit,Michigan,36.4
St Louis,Missouri,24.2
Memphis,Tennessee,26.8
Baltimore,Mayland,21.8
Cleveland,Ohio,34.6
Plano,Texas,6.8
Scottsdale,Arizona,8.2
Lincoln ,Nebraska,14.2
Laredo ,Texas,29.1
Irvine ,California,13.3
Kansas City,Missouri,16.5
Milwaukee,Wisconsin ,26.6
Stockton ,California,20.5
Oakland ,California,17.6
Chicago,Illinois,19.5
